Warehouse,Location,Pickable,Sellable,"Pick Priority","Transfer bin",Staging,Quantity,Type
Primary,#VALUE!,No,Yes,1,No,No,3,None
Primary,00-08-B-01,Yes,Yes,1,No,No,1,Bin
Primary,00-08-B-12,Yes,Yes,1,No,No,1,Bin
Primary,01-01-A-P02,Yes,Yes,0,No,No,2888,Pallet
Primary,01-01-A-P03,Yes,Yes,0,No,No,17,Pallet
Primary,01-01-B-P01,No,Yes,1,No,No,561,Pallet
Primary,01-01-B-P02,No,Yes,1,No,No,2239,Pallet
Primary,01-01-C-P02,No,Yes,1,No,No,3453,Pallet
Primary,01-01-C-P03,No,Yes,1,No,No,50,Pallet
Primary,01-01-D-P01,No,Yes,1,No,No,15,Pallet
Primary,01-01-D-P02,No,Yes,1,No,No,18,Pallet
Primary,01-01-D-P03,No,Yes,1,No,No,36,Pallet
Primary,01-02-A-P03,No,Yes,0,No,No,44,Pallet
Primary,01-02-B-P01,No,Yes,1,No,No,52,Pallet
Primary,01-02-B-P02,No,Yes,1,No,No,675,Pallet
Primary,01-02-B-P03,Yes,Yes,1,No,No,175,Pallet
Primary,01-02-C-P01,No,Yes,1,No,No,54,Pallet
Primary,01-02-C-P02,Yes,Yes,1,No,No,33,Pallet
Primary,01-02-C-P03,No,Yes,1,No,No,23,Pallet
Primary,01-02-D-P01,No,Yes,1,No,No,464,Pallet
Primary,01-02-D-P02,No,Yes,1,No,No,13,Pallet
Primary,01-02-D-P03,Yes,Yes,1,No,No,327,Pallet
Primary,01-03-A-P03,Yes,Yes,0,No,No,52,Pallet
Primary,01-03-B-P01,No,Yes,1,No,No,78,Pallet
Primary,01-03-B-P02,No,Yes,1,No,No,52,Pallet
Primary,01-03-B-P03,No,Yes,1,No,No,317,Pallet
Primary,01-03-C-P03,No,Yes,1,No,No,139,Pallet
Primary,01-03-D-P01,No,Yes,1,No,No,13,Pallet
Primary,01-03-D-P02,No,Yes,1,No,No,3159,Pallet
Primary,01-03-D-P03,No,Yes,1,No,No,924,Pallet
