Item,Sku,Warehouse,Client,Location,Type,Units,Active Item,Pickable,Sellable,Active Lot,Lot Name,Exp Date,Days to Expire,Creation Date
The Linen Stripe Crop Racer Pant Btr S,2048018BtrS,Primary,DONNI. HQ,Research,Bin,1,yes,no,no,,,,,2025-11-25 03:41:35
The Cotton Knit Cardigan TOM L,1026048TOML,Primary,DONNI. HQ,33-04-09-06,Bin,1,yes,yes,yes,,,,,2025-11-25 03:39:20
The Tall Rib Kick Flare Jet S,2060015JetTLS,Primary,DONNI. HQ,Hospital Put Aways,Bin,1,yes,no,yes,,,,,2025-11-25 03:35:40
The Stripe Jersey Bow Simple Pant OAT M,2062088OATM,Primary,DONNI. HQ,Hospital Put Aways,Bin,1,yes,no,yes,,,,,2025-11-25 03:35:40
The Baby Rib Scallop Pant Esp XS,2037029EspXS,Primary,DONNI. HQ,Research,Bin,1,yes,no,no,,,,,2025-11-25 03:27:51
The Baby Rib Scallop Pant Esp M,2037029EspM,Primary,DONNI. HQ,06-01-B-07,Bin,30,yes,yes,yes,,,,,2025-11-25 02:59:08
The Polar Fleece Jacket Cre XS,4006022CreXS,Primary,DONNI. HQ,29-05-C-07X,Bin,1,yes,yes,yes,,,,,2025-11-25 02:58:36
The Baby Rib Scallop Pant Esp M,2037029EspM,Primary,DONNI. HQ,06-01-B-06,Bin,31,yes,yes,yes,,,,,2025-11-25 02:55:13
The Cotton Cashmere Roll Neck Sweater Mus S,1055048MusS,Primary,DONNI. HQ,Research,Bin,1,yes,no,no,,,,,2025-11-25 02:53:13
The Stripe Jersey Bow Simple Pant OAT M,2062088OATM,Primary,DONNI. HQ,Research,Bin,1,yes,no,no,,,,,2025-11-25 02:47:59
The Linen Simple Pant Jet S,2020018JetS,Primary,DONNI. HQ,Research,Bin,1,yes,no,no,,,,,2025-11-25 02:35:48
The Pointelle Baby Tee Jet M,1022034JetM,Primary,DONNI. HQ,Research,Bin,4,yes,no,no,,,,,2025-11-25 02:32:40
The Rib Kick Flare Jet XS,2005015JetCLXS,Primary,DONNI. HQ,Research,Bin,2,yes,no,no,,,,,2025-11-25 02:31:41
