Item,Sku,Warehouse,Client,Location,Type,Units,Active Item,Pickable,Sellable,Active Lot,Lot Name,Exp Date,Days to Expire,Creation Date,unique id,,,
The Cotton Cashmere Crewneck Sweater Nav S,1059048NavS,Primary,DONNI. HQ,Y9-12-D-07,Bin,0,yes,yes,yes,,,,,2025-11-05 20:40:37,1059048NavS-Y9-12-D-07,0,#ERROR!,MISSING IN SNAPSHOT
The Rib Scoop Long Sleeve Jet M,1075015JetM,Primary,DONNI. HQ,Y9-12-D-02,Bin,0,yes,yes,yes,,,,,2025-10-03 17:49:29,1075015JetM-Y9-12-D-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Crewneck Oxbld L,1021037OxbldL,Primary,DONNI. HQ,Y9-12-C-12,Bin,0,yes,yes,yes,,,,,2025-10-30 17:35:14,1021037OxbldL-Y9-12-C-12,0,,MISSING IN SNAPSHOT
The Baby Rib Turtleneck Oxbld L,1070029OxbldL,Primary,DONNI. HQ,Y9-12-A-05,Bin,1,yes,yes,yes,,,,,2025-08-18 21:21:00,1070029OxbldL-Y9-12-A-05,0,,MISSING IN SNAPSHOT
The Eco-Terry Crewneck Btr XS,1021037BtrXS,Primary,DONNI. HQ,Y9-11-D-09,Bin,0,yes,yes,yes,,,,,2025-08-18 21:21:55,1021037BtrXS-Y9-11-D-09,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Esp M,2043056EspM,Primary,DONNI. HQ,Y9-11-D-09,Bin,0,yes,yes,yes,,,,,2025-10-01 22:21:22,2043056EspM-Y9-11-D-09,0,,MISSING IN SNAPSHOT
The Jersey Simple Crop Pant Hgy L,2027043HgyL,Primary,DONNI. HQ,Y9-11-D-07,Bin,0,yes,yes,yes,,,,,2025-07-23 19:10:14,2027043HgyL-Y9-11-D-07,0,,MISSING IN SNAPSHOT
The Linen Simple Pant Esp L,2020018EspL,Primary,DONNI. HQ,Y9-11-D-06,Bin,0,yes,yes,yes,,,,,2025-08-18 21:24:59,2020018EspL-Y9-11-D-06,0,,MISSING IN SNAPSHOT
The Silk Cotton Sheer Cargo Pant Cre S,2022081CreS,Primary,DONNI. HQ,Y9-11-D-06,Bin,0,yes,yes,yes,,,,,2025-08-30 17:54:53,2022081CreS-Y9-11-D-06,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Esp S,1045033EspS,Primary,DONNI. HQ,Y9-11-B-03,Bin,0,yes,no,yes,,,,,2025-10-29 19:55:56,1045033EspS-Y9-11-B-03,0,,MISSING IN SNAPSHOT
The Jersey Stripe Boyfriend V-Neck OAT S,1091088OATS,Primary,DONNI. HQ,Y9-10-B-09,Bin,0,yes,yes,yes,,,,,2025-09-23 18:45:03,1091088OATS-Y9-10-B-09,0,,MISSING IN SNAPSHOT
The Silk Cotton Sheer Cargo Pant Azr XS,2022081AzrXS,Primary,DONNI. HQ,Y9-09-D-03,Bin,0,yes,yes,yes,,,,,2025-08-30 17:53:00,2022081AzrXS-Y9-09-D-03,0,,MISSING IN SNAPSHOT
The Jersey Tee Pow M,1030043PowM,Primary,DONNI. HQ,Y9-09-C-05,Bin,0,yes,yes,yes,,,,,2025-08-14 22:44:49,1030043PowM-Y9-09-C-05,0,,MISSING IN SNAPSHOT
The Silk Simple Pant Esp XS,2048056EspXS,Primary,DONNI. HQ,Y9-09-C-05,Bin,0,yes,yes,yes,,,,,2025-10-25 23:21:17,2048056EspXS-Y9-09-C-05,0,,MISSING IN SNAPSHOT
The Jersey Simple Crop Pant Hgy S,2027043HgyS,Primary,DONNI. HQ,Y9-09-B-12,Bin,0,yes,yes,yes,,,,,2025-08-18 21:29:50,2027043HgyS-Y9-09-B-12,0,,MISSING IN SNAPSHOT
The Taffeta Gingham Drawstring Cargo Pant Stk XXL,2033077StkXXL,Primary,DONNI. HQ,Y9-09-B-06,Bin,0,yes,yes,yes,,,,,2025-08-18 21:30:29,2033077StkXXL-Y9-09-B-06,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Oxbld S,1045033OxbldS,Primary,DONNI. HQ,Y9-07-C-01,Bin,0,yes,yes,yes,,,,,2025-11-05 20:38:51,1045033OxbldS-Y9-07-C-01,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Esp XL,1045033EspXL,Primary,DONNI. HQ,Y9-07-A-05,Bin,0,yes,yes,yes,,,,,2025-07-29 03:01:50,1045033EspXL-Y9-07-A-05,0,,MISSING IN SNAPSHOT
The Linen Relaxed Shirt Cld XS,1034018CldXS,Primary,DONNI. HQ,Y9-07-A-02,Bin,0,yes,yes,yes,,,,,2025-08-18 21:32:39,1034018CldXS-Y9-07-A-02,0,,MISSING IN SNAPSHOT
The Jersey Long Sleeve Tee Pst S,1031043PstS,Primary,DONNI. HQ,Y9-06-D-04,Bin,0,yes,yes,yes,,,,,2025-07-12 00:19:22,1031043PstS-Y9-06-D-04,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Esp S,2041033EspS,Primary,DONNI. HQ,Y9-06-D-02,Bin,0,yes,yes,yes,,,,,2025-09-23 19:11:09,2041033EspS-Y9-06-D-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Stripe Crop Pant Hgy S,2049037HgyS,Primary,DONNI. HQ,Y9-06-C-07,Bin,0,yes,yes,yes,,,,,2025-09-09 17:23:53,2049037HgyS-Y9-06-C-07,0,,MISSING IN SNAPSHOT
The Linen Stripe Crop Racer Pant Pst M,2048018PstM,Primary,DONNI. HQ,Y9-06-C-07,Bin,0,yes,yes,yes,,,,,2025-09-10 17:51:26,2048018PstM-Y9-06-C-07,0,,MISSING IN SNAPSHOT
The Eco-Terry Sweatpants Esp XXL,2004037EspXXL,Primary,DONNI. HQ,Y9-06-C-07,Bin,0,yes,yes,yes,,,,,2025-11-05 20:56:20,2004037EspXXL-Y9-06-C-07,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Jet S,2043056JetS,Primary,DONNI. HQ,Y9-05-D-01,Bin,0,yes,yes,yes,,,,,2025-07-12 17:39:25,2043056JetS-Y9-05-D-01,0,,MISSING IN SNAPSHOT
The Polar Fleece Jacket Cre S,4006022CreS,Primary,DONNI. HQ,Y9-05-C-06,Bin,0,yes,yes,yes,,,,,2025-10-02 00:06:58,4006022CreS-Y9-05-C-06,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Esp XS,2021034EspXS,Primary,DONNI. HQ,Y9-05-C-04,Bin,0,yes,yes,yes,,,,,2025-07-15 23:27:55,2021034EspXS-Y9-05-C-04,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Esp M,2021034EspM,Primary,DONNI. HQ,Y9-05-C-04,Bin,0,yes,yes,yes,,,,,2025-09-29 20:13:11,2021034EspM-Y9-05-C-04,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant XL,2037029COTBLXL,Primary,DONNI. HQ,Y9-05-C-04,Bin,0,yes,yes,yes,,,,,2025-11-11 19:35:47,2037029COTBLXL-Y9-05-C-04,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Long Sleeve M,1039029COTBLM,Primary,DONNI. HQ,Y9-05-C-02,Bin,0,yes,yes,yes,,,,,2025-11-11 19:34:52,1039029COTBLM-Y9-05-C-02,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Jet XXS,2021034JetXXS,Primary,DONNI. HQ,Y9-05-B-04,Bin,1,yes,yes,yes,,,,,2025-08-25 20:33:00,2021034JetXXS-Y9-05-B-04,0,,MISSING IN SNAPSHOT
The Silk Shirt Esp S,1036056EspS,Primary,DONNI. HQ,Y9-05-A-05,Bin,0,yes,yes,yes,,,,,2025-08-02 19:31:54,1036056EspS-Y9-05-A-05,0,,MISSING IN SNAPSHOT
The Pointelle Long Sleeve Oxbld XS,1038046OxbldXS,Primary,DONNI. HQ,Y9-05-A-03,Bin,5,yes,yes,yes,,,,,2025-11-18 23:20:08,1038046OxbldXS-Y9-05-A-03,0,,MISSING IN SNAPSHOT
The Silk Lace Simple Pant Jet S,2019056JetS,Primary,DONNI. HQ,Y9-03-D-02,Bin,0,yes,yes,yes,,,,,2025-07-17 18:25:10,2019056JetS-Y9-03-D-02,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Esp XS,2043056EspXS,Primary,DONNI. HQ,Y9-03-A-05,Bin,0,yes,yes,yes,,,,,2025-08-26 21:00:48,2043056EspXS-Y9-03-A-05,0,,MISSING IN SNAPSHOT
The Baby Rib Turtleneck Pow S,1070029PowS,Primary,DONNI. HQ,Y9-02-D-04,Bin,0,yes,yes,yes,,,,,2025-07-10 23:24:23,1070029PowS-Y9-02-D-04,0,,MISSING IN SNAPSHOT
The Polar Fleece Coat Esp S,4002022EspS,Primary,DONNI. HQ,Y9-02-D-01,Bin,0,yes,yes,yes,,,,,2025-10-02 23:33:46,4002022EspS-Y9-02-D-01,0,,MISSING IN SNAPSHOT
The Cotton Cashmere Crewneck Sweater Oxbld XS,1059048OxbldXS,Primary,DONNI. HQ,Y9-02-D-01,Bin,0,yes,yes,yes,,,,,2025-10-07 20:30:34,1059048OxbldXS-Y9-02-D-01,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Oxbld XXL,2037029OxbldXXL,Primary,DONNI. HQ,Y9-01-D-02,Bin,0,yes,yes,yes,,,,,2025-09-15 18:52:47,2037029OxbldXXL-Y9-01-D-02,0,,MISSING IN SNAPSHOT
The Cable V-Neck Sweater Cgy XL,1062071CgyXL,Primary,DONNI. HQ,Y9-01-D-02,Bin,0,yes,yes,yes,,,,,2025-10-27 20:23:18,1062071CgyXL-Y9-01-D-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Sweatpants Hgy M,2004037HgyM,Primary,DONNI. HQ,Y9-01-A-04,Bin,0,yes,yes,yes,,,,,2025-10-02 23:29:11,2004037HgyM-Y9-01-A-04,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Esp S,1045033EspS,Primary,DONNI. HQ,Y8-12-D-05,Bin,0,yes,yes,yes,,,,,2025-10-15 22:20:15,1045033EspS-Y8-12-D-05,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Esp L,1045033EspL,Primary,DONNI. HQ,Y8-12-C-04,Bin,0,yes,yes,yes,,,,,2025-10-15 22:19:30,1045033EspL-Y8-12-C-04,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Jet M,2021034JetM,Primary,DONNI. HQ,Y8-11-D-10,Bin,0,yes,yes,yes,,,,,2025-11-12 21:33:17,2021034JetM-Y8-11-D-10,0,,MISSING IN SNAPSHOT
The Stripe Jersey Turtleneck Oxbld S,1086088OxbldS,Primary,DONNI. HQ,Y8-11-D-03,Bin,0,yes,yes,yes,,,,,2025-10-14 22:44:49,1086088OxbldS-Y8-11-D-03,0,,MISSING IN SNAPSHOT
The Stripe Jersey Bow Simple Pant Oxbld M,2062088OxbldM,Primary,DONNI. HQ,Y8-11-D-03,Bin,2,yes,yes,yes,,,,,2025-10-29 22:53:08,2062088OxbldM-Y8-11-D-03,0,,MISSING IN SNAPSHOT
The Jersey Stripe Boyfriend V-Neck OAT M,1091088OATM,Primary,DONNI. HQ,Y8-11-D-02,Bin,0,yes,yes,yes,,,,,2025-10-14 22:45:25,1091088OATM-Y8-11-D-02,0,,MISSING IN SNAPSHOT
The Stripe Jersey Bow Simple Pant Oxbld XXL,2062088OxbldXXL,Primary,DONNI. HQ,Y8-11-D-02,Bin,0,yes,yes,yes,,,,,2025-10-29 22:51:53,2062088OxbldXXL-Y8-11-D-02,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Esp S,2021034EspS,Primary,DONNI. HQ,Y8-11-C-03,Bin,0,yes,yes,yes,,,,,2025-09-20 01:13:42,2021034EspS-Y8-11-C-03,0,,MISSING IN SNAPSHOT
The Eco-Terry Sweatpants OAT L,2004037OATL,Primary,DONNI. HQ,Y8-11-C-03,Bin,0,yes,yes,yes,,,,,2025-10-14 22:45:50,2004037OATL-Y8-11-C-03,0,,MISSING IN SNAPSHOT
The Baby Rib Turtleneck Hgy XXS,1070029HgyXXS,Primary,DONNI. HQ,Y8-11-C-03,Bin,0,yes,yes,yes,,,,,2025-11-12 19:19:28,1070029HgyXXS-Y8-11-C-03,0,,MISSING IN SNAPSHOT
The Cotton Cashmere Crewneck Sweater Oxbld L,1059048OxbldL,Primary,DONNI. HQ,Y8-11-C-02,Bin,0,yes,yes,yes,,,,,2025-10-15 22:18:45,1059048OxbldL-Y8-11-C-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Sweatpants Hgy M,2004037HgyM,Primary,DONNI. HQ,Y8-11-C-02,Bin,0,yes,yes,yes,,,,,2025-10-21 23:22:51,2004037HgyM-Y8-11-C-02,0,,MISSING IN SNAPSHOT
The Satin Jacket Jet S,4007058JetS,Primary,DONNI. HQ,Y8-11-A-08,Bin,0,yes,yes,yes,,,,,2025-10-09 19:07:18,4007058JetS-Y8-11-A-08,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Esp S,2043056EspS,Primary,DONNI. HQ,Y8-11-A-03,Bin,0,yes,yes,yes,,,,,2025-07-10 00:40:09,2043056EspS-Y8-11-A-03,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Jet M,2037029JetM,Primary,DONNI. HQ,Y8-10-D-01,Bin,0,yes,yes,yes,,,,,2025-10-15 22:18:04,2037029JetM-Y8-10-D-01,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Nav XS,2041033NavXS,Primary,DONNI. HQ,Y8-10-D-01,Bin,0,yes,yes,yes,,,,,2025-11-05 23:48:02,2041033NavXS-Y8-10-D-01,0,,MISSING IN SNAPSHOT
The Jersey Boyfriend V-Neck Jet M,1088052JetM,Primary,DONNI. HQ,Y8-10-C-07,Bin,0,yes,yes,yes,,,,,2025-11-12 21:33:53,1088052JetM-Y8-10-C-07,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Esp XS,2021034EspXS,Primary,DONNI. HQ,Y8-10-C-03,Bin,0,yes,yes,yes,,,,,2025-10-14 19:26:42,2021034EspXS-Y8-10-C-03,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Jet L,2043056JetL,Primary,DONNI. HQ,Y8-10-B-04,Bin,0,yes,yes,yes,,,,,2025-07-11 21:01:07,2043056JetL-Y8-10-B-04,0,,MISSING IN SNAPSHOT
The Cotton Cashmere Crewneck Sweater Esp XS,1059048EspXS,Primary,DONNI. HQ,Y8-10-B-04,Bin,0,yes,yes,yes,,,,,2025-08-06 17:19:24,1059048EspXS-Y8-10-B-04,0,,MISSING IN SNAPSHOT
The Chino Barrel Pant Khaki 0,2066084Khaki0,Primary,DONNI. HQ,Y8-10-B-04,Bin,0,yes,yes,yes,,,,,2025-10-06 23:01:54,2066084Khaki0-Y8-10-B-04,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Dil M,2043056DilM,Primary,DONNI. HQ,Y8-09-D-07,Bin,0,yes,yes,yes,,,,,2025-09-23 20:33:10,2043056DilM-Y8-09-D-07,0,,MISSING IN SNAPSHOT
